SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2015,POPEST18PLUS2015,PCNT_POPEST18PLUS
010,0,0,00,United States,321418820,247773709,77.1
040,3,6,01,Alabama,4858979,3755483,77.3
040,4,9,02,Alaska,738432,552166,74.8
040,4,8,04,Arizona,6828065,5205215,76.2
040,3,7,05,Arkansas,2978204,2272904,76.3
040,4,9,06,California,39144818,30023902,76.7
040,4,8,08,Colorado,5456574,4199509,77
040,1,1,09,Connecticut,3590886,2826827,78.7
040,3,5,10,Delaware,945934,741548,78.4
040,3,5,11,District of Columbia,672228,554121,82.4
040,3,5,12,Florida,20271272,16166143,79.7
040,3,5,13,Georgia,10214860,7710688,75.5
040,4,9,15,Hawaii,1431603,1120770,78.3
040,4,8,16,Idaho,1654930,1222093,73.8
040,2,3,17,Illinois,12859995,9901322,77
040,2,3,18,Indiana,6619680,5040224,76.1
040,2,4,19,Iowa,3123899,2395103,76.7
040,2,4,20,Kansas,2911641,2192084,75.3
040,3,6,21,Kentucky,4425092,3413425,77.1
040,3,7,22,Louisiana,4670724,3555911,76.1
040,1,1,23,Maine,1329328,1072948,80.7
040,3,5,24,Maryland,6006401,4658175,77.6
040,1,1,25,Massachusetts,6794422,5407335,79.6
040,2,3,26,Michigan,9922576,7715272,77.8
040,2,4,27,Minnesota,5489594,4205207,76.6
040,3,6,28,Mississippi,2992333,2265485,75.7
040,2,4,29,Missouri,6083672,4692196,77.1
040,4,8,30,Montana,1032949,806529,78.1
040,2,4,31,Nebraska,1896190,1425853,75.2
040,4,8,32,Nevada,2890845,2221681,76.9
040,1,1,33,New Hampshire,1330608,1066610,80.2
040,1,2,34,New Jersey,8958013,6959192,77.7
040,4,8,35,New Mexico,2085109,1588201,76.2
040,1,2,36,New York,19795791,15584974,78.7
040,3,5,37,North Carolina,10042802,7752234,77.2
040,2,4,38,North Dakota,756927,583001,77
040,2,3,39,Ohio,11613423,8984946,77.4
040,3,7,40,Oklahoma,3911338,2950017,75.4
040,4,9,41,Oregon,4028977,3166121,78.6
040,1,2,42,Pennsylvania,12802503,10112229,79
040,1,1,44,Rhode Island,1056298,845254,80
040,3,5,45,South Carolina,4896146,3804558,77.7
040,2,4,46,South Dakota,858469,647145,75.4
040,3,6,47,Tennessee,6600299,5102688,77.3
040,3,7,48,Texas,27469114,20257343,73.7
040,4,8,49,Utah,2995919,2083423,69.5
040,1,1,50,Vermont,626042,506119,80.8
040,3,5,51,Virginia,8382993,6512571,77.7
040,4,9,53,Washington,7170351,5558509,77.5
040,3,5,54,West Virginia,1844128,1464532,79.4
040,2,3,55,Wisconsin,5771337,4476711,77.6
040,4,8,56,Wyoming,586107,447212,76.3
040,X,X,72,Puerto Rico Commonwealth,3474182,2736791,78.8
